book_id,genre
0,Зарубежное фэнтези
0,Про волшебников
0,Для подростков
1,Ужасы
1,Зарубежная литература
1,Мистика
2,Зарубежная классика
2,Исторический роман
2,Реализм
3,Зарубежные детективы
3,Классические детективы
4,Современная зарубежная литература
5,Современная зарубежная литература
5,Современная проза
5,Исторический роман
6,Зарубежная классика
6,Зарубежное фэнтези
6,Героическое фэнтези
7,Исторические приключения
7,Классическая литература
7,Зарубежная классика
7,Литература 
8,Зарубежные детские
9,Зарубежное фэнтези
9,Героическое фэнтези
10,Зарубежное фэнтези
10,Детективное фэнтези
10,Для подростков
10,Мистика
11,Зарубежное фэнтези
11,Для подростков
12,Зарубежные детективы
12,Боевики
13,Современная зарубежная литература
13,Современная проза
14,Зарубежная литература
14,Домашние животные
15,Воспитание детей
16,Классические детективы
16,Литература 
16,Зарубежные детективы
17,Зарубежная фантастика
17,Зарубежная классика
17,Научная фантастика
18,Классическая литература
18,Русская классика
19,Фэнтези
19,Зарубежное фэнтези
21,Зарубежная литература
21,Литература 
21,Триллеры
22,Зарубежное фэнтези
22,Героическое фэнтези
23,Зарубежная классика
23,Биографии и мемуары
24,Современная зарубежная литература
25,Современная русская литература
25,Биографии и мемуары
26,Классическая проза
26,Русская классика
26,Литература 
26,Отечественный юмор и сатира
27,Зарубежная классика
27,Классическая проза
28,Классическая проза
28,Зарубежная классика
29,Современная проза
29,Современная зарубежная литература
29,Исторические приключения
30,Детская фантастика
30,Детские приключения
30,Приключения
31,Классическая проза
31,Зарубежная классика
31,Литература 
32,Русская классика
32,Мистика
32,Отечественные любовные романы
32,Литература 
33,Зарубежная классика
33,Классическая проза
33,О войне
34,Приключения
34,Классическая проза
34,Русская литература
34,Советская литература
35,Русское фэнтези
36,Зарубежные детективы
36,Классические детективы
37,Зарубежное фэнтези
37,Героическое фэнтези
38,Зарубежные детские
38,Детские приключения
38,Зарубежная классика
38,Литература 
39,Биографии и мемуары
39,О психологии популярно
40,Комиксы
41,Детские
41,Русская литература
42,Документальная литература
42,О войне
42,Публицистика
43,Зарубежная классика
43,Классическая проза
43,Литература 
44,Отечественные детективы
44,Отечественный мужской детектив
44,Исторические детективы
45,Поэзия
45,Отечественная драматургия
46,Зарубежное фэнтези
46,Романтическое фэнтези
46,Для подростков
46,Современная зарубежная литература
47,Зарубежная классика
47,Классическая проза
47,Литература 
47,Рассказы
48,Зарубежные детские
48,Детская проза
49,Зарубежная классика
49,Литература 
49,Классическая проза
49,Приключения
49,Природа и животные
50,Зарубежные детективы
50,Классические детективы
51,Зарубежная фантастика
51,Научная фантастика
52,Фэнтези
52,Русское фэнтези
52,Героическое фэнтези
53,Классическая проза
53,Зарубежная классика
54,Сказки
54,Русская литература для детей
54,Сказки отечественных писателей
55,Для подростков
55,Зарубежное фэнтези
55,Романтическое фэнтези
56,Русское фэнтези
56,Городское фэнтези
57,Русское фэнтези
58,Зарубежные детские
58,Сказки
58,Зарубежная классика
59,Зарубежное фэнтези
59,Для подростков
60,Зарубежная классика
60,Зарубежная литература
60,Зарубежные любовные романы
60,Литература 
61,Зарубежное фэнтези
61,Героическое фэнтези
62,Литература 
62,Классическая проза
62,Зарубежная классика
63,Современная зарубежная литература
63,Исторический роман
64,Русское фэнтези
64,Городское фэнтези
65,Зарубежные детские
65,Сказки
65,Литература 
66,Детские приключения
66,Зарубежная классика
66,Научная фантастика
66,О приключениях
67,Зарубежные детские
67,Детская проза
67,Зарубежная классика
67,Литература 
68,Зарубежное фэнтези
68,Юмористическое фэнтези
69,Классическая проза
69,Русская классика
70,Зарубежная классика
70,Классическая проза
70,Литература 
71,Зарубежные детские
71,Сказки
71,Зарубежное фэнтези
71,Про волшебников
72,Советская литература
72,Русская классика
72,О войне
72,Русская классика для детей
73,Любовные романы
73,Для подростков
73,Современные любовные романы
74,Современная проза
74,Современная зарубежная литература
75,Зарубежное фэнтези
75,Героическое фэнтези
76,Русская литература для детей
76,Для детей
77,Современная проза
77,Современная русская литература
78,Зарубежные детские
78,Для подростков
78,Детская проза
79,Отечественная фантастика
79,Научная фантастика
80,Зарубежная фантастика
80,Зарубежная классика
80,Социальная фантастика
80,Литература 
81,Зарубежное фэнтези
81,Для подростков
82,Детские
82,Детская проза
82,Детские приключения
82,Русская литература для детей
82,Юмористическая проза
83,Зарубежные любовные романы
84,Русское фэнтези
86,Русское фэнтези
87,Детская проза
87,Русская литература для детей
88,Зарубежные детские
88,Сказки
88,Зарубежная классика
88,Литература 
89,Зарубежная классика
89,Классическая проза
89,Литература 
90,Зарубежная фантастика
91,Зарубежная классика
91,Классическая проза
91,Литература 
92,Зарубежное фэнтези
92,Для подростков
93,Зарубежные детективы
93,Детективы
93,Современные детективы
94,Русская литература для детей
94,Детская проза
95,Зарубежные детские
95,Сказки
96,Зарубежное фэнтези
96,Романтическое фэнтези
96,Для подростков
97,Зарубежное фэнтези
97,Героическое фэнтези
97,Рассказы
